year,trade_value_usd,net_weight_kg,flows
2014,30538015344.563,8427495438.959,4229
2015,29268277659.741,7884126427.106,4428
2016,29231806397.816,8345844845.014,4528
2017,31242819828.989,8185154716.5789995,4678
2018,29242515318.343,7626897568.543,4761
2019,29125767332.406,8982817013.48,5038
2020,30183319904.178,8672007463.135,5114
2021,35637185934.503,8870216638.879,5292
2022,43201729944.871,8619025926.334,5104
2023,41362731484.145,8180805227.724,5293
2024,44015865451.119,7603072001.93,4918
2025,40804858433.663,4673159856.836,2961
