Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,ISO_Code
东帝汶,2024,22478.0,9522.52,423.6,TLS
中国,2024,34258.0,115902.58,3383.3,CHN
中非共和国,2024,943748.0,324922.99,344.3,CAF
乌干达,2024,736547.0,402000.0,545.8,UGA
也门,2024,37139.0,26544.19,714.7,YEM
伯利兹,2024,76.0,89.57,1180.6,BLZ
佛得角,2024,60.0,14.0,231.8,CPV
几内亚,2024,445086.0,174847.18,392.8,GIN
刚果,2024,10455.0,3177.37,303.9,COG
刚果民主共和国,2024,166516.0,65701.24,394.6,COD
利比里亚,2024,2753.0,653.22,237.3,LBR
加纳,2024,460.0,736.0,1600.0,GHA
加蓬,2024,274.0,103.97,380.0,GAB
卢旺达,2024,15432.0,17839.78,1156.0,RWA
印度,2024,491419.0,363000.0,738.7,IND
印度尼西亚,2024,1269354.0,807578.0,636.2,IDN
危地马拉,2024,376019.0,224860.0,598.0,GTM
厄瓜多尔,2024,18533.0,5465.05,294.9,ECU
古巴,2024,17801.0,6000.0,337.1,CUB
哥伦比亚,2024,837685.0,839846.69,1002.6,COL
哥斯达黎加,2024,82539.0,62153.98,753.0,CRI
喀麦隆,2024,54231.0,29774.37,549.0,CMR
圣多美和普林西比,2024,131.0,7.27,55.7,STP
圣文森特和格林纳丁斯,2024,574.0,189.99,331.1,VCT
圭亚那,2024,185.0,151.0,814.7,GUY
坦桑尼亚联合共和国,2024,325635.0,77417.0,237.7,TZA
埃塞俄比亚,2024,862943.0,575696.18,667.1,ETH
塞拉利昂,2024,1499.0,2208.05,1472.7,SLE
墨西哥,2024,659699.0,194470.0,294.8,MEX
多哥,2024,42200.0,21769.41,515.9,TGO
多民族玻利维亚国,2024,25119.0,23063.65,918.2,BOL
多米尼克,2024,408.0,361.65,886.2,DMA
多米尼加共和国,2024,45158.0,24838.0,550.0,DOM
委内瑞拉玻利瓦尔共和国,2024,166453.0,58268.29,350.1,VEN
安哥拉,2024,22060.0,7584.0,343.8,AGO
尼加拉瓜,2023,148393.0,143336.66,965.9,NIC
尼日利亚,2024,1379.0,1808.66,1312.0,NGA
尼泊尔,2024,4305.0,501.3,116.4,NPL
巴布亚新几内亚,2024,47702.0,50400.0,1056.6,PNG
巴拉圭,2024,278.0,363.19,1308.1,PRY
巴拿马,2024,14001.0,6318.02,451.3,PAN
巴西,2024,1943977.0,3387724.0,1742.7,BRA
布隆迪,2024,7429.0,6900.0,928.8,BDI
库克群岛,2024,1.0,0.37,546.1,COK
斐济,2024,22.0,14.23,638.1,FJI
斯里兰卡,2024,4900.0,5117.0,1044.3,LKA
新喀里多尼亚,2024,7.0,1.01,138.2,NCL
柬埔寨,2024,457.0,362.68,793.2,KHM
毛里求斯,2024,,,,MUS
汤加,2024,11.0,15.18,1369.6,TON
沙特阿拉伯,2024,650.0,760.0,1169.2,SAU
法属波利尼西亚,2024,97.0,21.98,226.2,PYF
波多黎各,2024,2007.0,635.99,316.8,PRI
泰国,2024,31364.0,16623.48,530.0,THA
津巴布韦,2024,700.0,572.0,817.1,ZWE
洪都拉斯,2024,266728.0,324015.02,1214.8,HND
海地,2024,8477.0,4371.49,515.7,HTI
牙买加,2024,8191.0,6521.0,796.1,JAM
特立尼达和多巴哥,2024,5161.0,757.86,146.8,TTO
瓜德罗普,2006,25.0,24.44,977.6,GLP
瓦努阿图,2024,22.0,13.43,610.5,VUT
科摩罗,2024,999.0,142.1,142.3,COM
科特迪瓦,2024,599673.0,72133.0,120.3,CIV
秘鲁,2024,421972.0,358993.78,850.8,PER
缅甸,2024,12461.0,8903.66,714.5,MMR
美利坚合众国,2024,2833.0,3817.0,1347.3,USA
老挝人民民主共和国,2024,91730.0,174900.0,1906.7,LAO
肯尼亚,2024,113600.0,49500.0,435.7,KEN
苏里南,2024,292.0,6.22,21.3,SUR
莫桑比克,2024,819.0,803.7,980.8,MOZ
菲律宾,2024,115779.0,64000.0,552.8,PHL
萨尔瓦多,2024,117332.0,28487.64,242.8,SLV
萨摩亚,2024,39.0,11.79,300.2,WSM
西班牙,2017,,,,ESP
贝宁,2024,284.0,55.13,194.5,BEN
赞比亚,2024,8126.0,8795.73,1082.4,ZMB
赤道几内亚,2024,10981.0,4034.35,367.4,GNQ
越南,2024,678569.0,2015289.0,2969.9,VNM
马拉维,2024,3762.0,11223.46,2983.2,MWI
马提尼克,2006,16.0,30.35,1897.1,MTQ
马来西亚,2024,1381.0,2861.29,2072.5,MYS
马达加斯加,2024,87583.0,49561.4,565.9,MDG
