Country,Year,Production_tonnes,Rank
巴西,1990,1464856.0,1
哥伦比亚,1990,845000.0,2
墨西哥,1990,440000.0,3
印度尼西亚,1990,412767.0,4
科特迪瓦,1990,285164.0,5
埃塞俄比亚,1990,204000.0,6
危地马拉,1990,202400.0,7
哥斯达黎加,1990,151100.0,8
萨尔瓦多,1990,147200.0,9
厄瓜多尔,1990,134980.0,10
巴西,1991,1520382.0,1
哥伦比亚,1991,970740.0,2
印度尼西亚,1991,428305.0,3
墨西哥,1991,334330.0,4
埃塞俄比亚,1991,210000.0,5
科特迪瓦,1991,198909.0,6
危地马拉,1991,196190.0,7
印度,1991,170000.0,8
哥斯达黎加,1991,158000.0,9
萨尔瓦多,1991,149450.0,10
巴西,1992,1294373.0,1
哥伦比亚,1992,1100000.0,2
印度尼西亚,1992,436930.0,3
墨西哥,1992,359665.0,4
科特迪瓦,1992,257000.0,5
埃塞俄比亚,1992,216000.0,6
危地马拉,1992,206586.0,7
印度,1992,180000.0,8
萨尔瓦多,1992,175720.0,9
哥斯达黎加,1992,168000.0,10
巴西,1993,1278759.0,1
哥伦比亚,1993,818220.0,2
印度尼西亚,1993,438868.0,3
墨西哥,1993,335627.0,4
危地马拉,1993,208650.0,5
埃塞俄比亚,1993,180000.0,6
印度,1993,162000.0,7
哥斯达黎加,1993,156927.0,8
乌干达,1993,144551.0,9
萨尔瓦多,1993,140576.0,10
巴西,1994,1307289.0,1
哥伦比亚,1994,721860.0,2
印度尼西亚,1994,450191.0,3
墨西哥,1994,324500.0,4
危地马拉,1994,213900.0,5
印度,1994,208000.0,6
埃塞俄比亚,1994,207000.0,7
乌干达,1994,198371.0,8
厄瓜多尔,1994,186797.0,9
越南,1994,180000.0,10
巴西,1995,930135.0,1
哥伦比亚,1995,821820.0,2
印度尼西亚,1995,457801.0,3
墨西哥,1995,324526.0,4
埃塞俄比亚,1995,229980.0,5
越南,1995,218000.0,6
危地马拉,1995,210920.0,7
科特迪瓦,1995,194968.0,8
乌干达,1995,181465.0,9
印度,1995,180000.0,10
巴西,1996,1369196.0,1
哥伦比亚,1996,671401.0,2
印度尼西亚,1996,421751.0,3
墨西哥,1996,374153.0,4
越南,1996,320100.0,5
乌干达,1996,287925.0,6
危地马拉,1996,240300.0,7
埃塞俄比亚,1996,229980.0,8
印度,1996,223000.0,9
厄瓜多尔,1996,168919.0,10
巴西,1997,1228513.0,1
哥伦比亚,1997,642239.0,2
印度尼西亚,1997,426800.0,3
越南,1997,420500.0,4
墨西哥,1997,368315.0,5
科特迪瓦,1997,279219.0,6
危地马拉,1997,271440.0,7
埃塞俄比亚,1997,228000.0,8
乌干达,1997,219624.0,9
印度,1997,205000.0,10
巴西,1998,1689366.0,1
哥伦比亚,1998,766980.0,2
印度尼西亚,1998,512165.0,3
越南,1998,409300.0,4
科特迪瓦,1998,311000.0,5
墨西哥,1998,277372.0,6
危地马拉,1998,253080.0,7
埃塞俄比亚,1998,229980.0,8
印度,1998,228000.0,9
乌干达,1998,205056.0,10
巴西,1999,1631852.0,1
越南,1999,553200.0,2
哥伦比亚,1999,546720.0,3
印度尼西亚,1999,524687.0,4
科特迪瓦,1999,307331.0,5
墨西哥,1999,302119.0,6
危地马拉,1999,293520.0,7
印度,1999,265000.0,8
乌干达,1999,251881.0,9
埃塞俄比亚,1999,217450.0,10
巴西,2000,1903562.0,1
越南,2000,802500.0,2
哥伦比亚,2000,637140.0,3
印度尼西亚,2000,554574.0,4
科特迪瓦,2000,380000.0,5
墨西哥,2000,338170.0,6
危地马拉,2000,312060.0,7
印度,2000,292000.0,8
埃塞俄比亚,2000,229980.0,9
洪都拉斯,2000,193309.0,10
巴西,2001,1819569.0,1
越南,2001,840600.0,2
哥伦比亚,2001,656160.0,3
印度尼西亚,2001,569234.0,4
墨西哥,2001,302996.0,5
科特迪瓦,2001,301127.0,6
印度,2001,301000.0,7
危地马拉,2001,261096.84,8
洪都拉斯,2001,205545.0,9
乌干达,2001,197410.0,10
巴西,2002,2610524.0,1
越南,2002,699500.0,2
哥伦比亚,2002,696840.0,3
印度尼西亚,2002,682019.0,4
墨西哥,2002,313027.0,5
印度,2002,301000.0,6
危地马拉,2002,255091.28,7
秘鲁,2002,212770.0,8
乌干达,2002,209547.0,9
布隆迪,2002,182182.0,10
巴西,2003,1987074.0,1
越南,2003,793700.0,2
哥伦比亚,2003,694080.0,3
印度尼西亚,2003,663571.0,4
墨西哥,2003,310861.0,5
印度,2003,275275.0,6
危地马拉,2003,244200.0,7
秘鲁,2003,203148.0,8
洪都拉斯,2003,175284.0,9
乌干达,2003,150871.0,10
巴西,2004,2465710.0,1
越南,2004,913800.0,2
哥伦比亚,2004,674400.0,3
印度尼西亚,2004,647385.0,4
墨西哥,2004,312413.0,5
印度,2004,270500.0,6
危地马拉,2004,250279.0,7
秘鲁,2004,231447.0,8
布隆迪,2004,204509.0,9
洪都拉斯,2004,185090.0,10
巴西,2005,2140169.0,1
越南,2005,831000.0,2
哥伦比亚,2005,667140.0,3
印度尼西亚,2005,640365.0,4
墨西哥,2005,294364.0,5
印度,2005,275500.0,6
危地马拉,2005,248277.0,7
科特迪瓦,2005,230000.0,8
洪都拉斯,2005,190640.0,9
秘鲁,2005,188611.0,10
巴西,2006,2573368.0,1
越南,2006,985300.0,2
哥伦比亚,2006,724740.0,3
印度尼西亚,2006,682158.0,4
墨西哥,2006,279635.0,5
印度,2006,274000.0,6
秘鲁,2006,273178.0,7
埃塞俄比亚,2006,241482.0,8
危地马拉,2006,240331.38,9
洪都拉斯,2006,213636.0,10
巴西,2007,2249011.0,1
越南,2007,1251000.0,2
哥伦比亚,2007,757080.0,3
印度尼西亚,2007,676475.0,4
印度,2007,288000.0,5
埃塞俄比亚,2007,273400.0,6
墨西哥,2007,268565.0,7
危地马拉,2007,248613.98,8
洪都拉斯,2007,236302.0,9
秘鲁,2007,225992.0,10
巴西,2008,2796927.0,1
越南,2008,1055811.0,2
印度尼西亚,2008,698016.0,3
哥伦比亚,2008,688680.0,4
秘鲁,2008,273780.0,5
印度,2008,262000.0,6
墨西哥,2008,260442.0,7
埃塞俄比亚,2008,260239.0,8
危地马拉,2008,254914.38,9
洪都拉斯,2008,240948.0,10
巴西,2009,2440056.0,1
越南,2009,1057539.6,2
印度尼西亚,2009,682591.0,3
哥伦比亚,2009,468720.0,4
埃塞俄比亚,2009,265469.0,5
墨西哥,2009,264472.0,6
印度,2009,262300.0,7
危地马拉,2009,247502.68,8
秘鲁,2009,243479.0,9
洪都拉斯,2009,231288.0,10
巴西,2010,2907265.0,1
越南,2010,1105700.0,2
印度尼西亚,2010,684076.0,3
哥伦比亚,2010,535380.0,4
埃塞俄比亚,2010,370569.0,5
印度,2010,289600.0,6
秘鲁,2010,264605.0,7
危地马拉,2010,248355.43,8
墨西哥,2010,245271.0,9
洪都拉斯,2010,244335.0,10
巴西,2011,2700540.0,1
越南,2011,1276506.0,2
印度尼西亚,2011,638600.0,3
哥伦比亚,2011,468540.0,4
埃塞俄比亚,2011,442270.0,5
秘鲁,2011,331547.0,6
印度,2011,302000.0,7
洪都拉斯,2011,284347.0,8
危地马拉,2011,265401.43,9
墨西哥,2011,237056.0,10
巴西,2012,3037534.0,1
越南,2012,1260463.0,2
印度尼西亚,2012,691163.0,3
哥伦比亚,2012,462000.0,4
埃塞俄比亚,2012,449740.0,5
洪都拉斯,2012,343403.0,6
秘鲁,2012,320163.56,7
印度,2012,314000.0,8
危地马拉,2012,272432.0,9
墨西哥,2012,246121.0,10
巴西,2013,2964538.0,1
越南,2013,1326688.0,2
印度尼西亚,2013,675800.0,3
哥伦比亚,2013,653160.0,4
埃塞俄比亚,2013,392006.0,5
印度,2013,318200.0,6
洪都拉斯,2013,280697.0,7
秘鲁,2013,256241.43,8
危地马拉,2013,248668.0,9
墨西哥,2013,231596.0,10
巴西,2014,2804070.0,1
越南,2014,1406469.0,2
哥伦比亚,2014,728400.0,3
印度尼西亚,2014,643900.0,4
埃塞俄比亚,2014,467860.0,5
印度,2014,304500.0,6
洪都拉斯,2014,282230.0,7
危地马拉,2014,227653.47,8
秘鲁,2014,222047.0,9
乌干达,2014,220135.0,10
巴西,2015,2647504.0,1
越南,2015,1452999.3,2
哥伦比亚,2015,827750.0,3
印度尼西亚,2015,639412.0,4
埃塞俄比亚,2015,501240.0,5
洪都拉斯,2015,332747.0,6
印度,2015,327000.0,7
秘鲁,2015,251938.0,8
乌干达,2015,229149.0,9
危地马拉,2015,225653.13,10
巴西,2016,3024466.0,1
越南,2016,1460800.01,2
哥伦比亚,2016,818243.0,3
印度尼西亚,2016,639305.0,4
埃塞俄比亚,2016,494819.0,5
洪都拉斯,2016,366542.0,6
印度,2016,348000.0,7
秘鲁,2016,277760.4,8
乌干达,2016,243061.0,9
危地马拉,2016,236144.72,10
巴西,2017,2684508.0,1
越南,2017,1542397.88,2
哥伦比亚,2017,851640.0,3
印度尼西亚,2017,717962.0,4
埃塞俄比亚,2017,549531.0,5
洪都拉斯,2017,477580.0,6
秘鲁,2017,337330.0,7
印度,2017,312000.0,8
乌干达,2017,302063.0,9
危地马拉,2017,224000.0,10
巴西,2018,3552729.0,1
越南,2018,1616307.25,2
哥伦比亚,2018,813420.0,3
印度尼西亚,2018,756051.0,4
埃塞俄比亚,2018,573986.0,5
洪都拉斯,2018,478830.76,6
秘鲁,2018,369621.99,7
印度,2018,316000.0,8
乌干达,2018,284225.0,9
危地马拉,2018,240400.0,10
巴西,2019,3011745.0,1
越南,2019,1686765.17,2
哥伦比亚,2019,885120.0,3
印度尼西亚,2019,752512.0,4
埃塞俄比亚,2019,573580.0,5
洪都拉斯,2019,472497.96,6
秘鲁,2019,363319.59,7
印度,2019,319500.0,8
乌干达,2019,313933.0,9
几内亚,2019,243703.0,10
巴西,2020,3705719.0,1
越南,2020,1763476.04,2
哥伦比亚,2020,833400.0,3
印度尼西亚,2020,762380.0,4
埃塞俄比亚,2020,584789.57,5
洪都拉斯,2020,364552.38,6
乌干达,2020,360103.0,7
秘鲁,2020,353205.74,8
印度,2020,298000.0,9
中非共和国,2020,289283.3,10
巴西,2021,2985581.0,1
越南,2021,1845032.98,2
印度尼西亚,2021,786191.0,3
埃塞俄比亚,2021,590400.0,4
哥伦比亚,2021,560340.0,5
洪都拉斯,2021,417591.24,6
乌干达,2021,414007.0,7
秘鲁,2021,363996.83,8
印度,2021,334000.0,9
中非共和国,2021,297961.8,10
巴西,2022,3179341.0,1
越南,2022,1953990.16,2
印度尼西亚,2022,774960.53,3
哥伦比亚,2022,665015.95,4
埃塞俄比亚,2022,545566.36,5
乌干达,2022,507000.0,6
秘鲁,2022,357346.42,7
印度,2022,352000.0,8
洪都拉斯,2022,330111.31,9
中非共和国,2022,306900.66,10
巴西,2023,3348510.0,1
越南,2023,1956782.46,2
印度尼西亚,2023,758725.0,3
哥伦比亚,2023,680857.67,4
埃塞俄比亚,2023,559400.0,5
乌干达,2023,468000.0,6
洪都拉斯,2023,384361.02,7
秘鲁,2023,366940.03,8
印度,2023,360500.0,9
中非共和国,2023,316108.0,10
巴西,2024,3387724.0,1
越南,2024,2015289.0,2
哥伦比亚,2024,839846.69,3
印度尼西亚,2024,807578.0,4
埃塞俄比亚,2024,575696.18,5
乌干达,2024,402000.0,6
印度,2024,363000.0,7
秘鲁,2024,358993.78,8
中非共和国,2024,324922.99,9
洪都拉斯,2024,324015.02,10
